sid,sim,eid
1902,0.05756234750151634,1746
1902,0.055949173867702484,1164
1903,0.1683674156665802,1406
1903,0.11698591709136963,696
1903,0.09716324508190155,262
1903,0.0931694507598877,278
1903,0.08694812655448914,1817
1904,0.20882977545261383,700
1904,0.20397591590881348,1080
1904,0.15925376117229462,1355
1904,0.14246416091918945,1820
1904,0.06732869148254395,290
1905,0.06454898416996002,1628
1905,0.06440073251724243,2056
1905,0.06188591197133064,503
1905,0.05979641154408455,637
1905,0.05673898756504059,315
1906,0.34279710054397583,321
1906,0.24292992055416107,466
1906,0.09156882017850876,574
1906,0.08750259131193161,365
1906,0.07083562761545181,110
1907,0.08896692842245102,1816
1907,0.07291032373905182,371
1907,0.07290751487016678,1276
1907,0.0684129074215889,2040
1907,0.0600118450820446,2007
1908,0.10285982489585876,1147
1908,0.08518122136592865,1569
1908,0.07749561965465546,1892
1908,0.07726848870515823,1464
1908,0.0750507041811943,1467
1909,0.1434651017189026,287
1909,0.08116880059242249,754
1909,0.08042645454406738,24
1909,0.07426854968070984,745
1909,0.07371983677148819,1093
1910,0.05812240391969681,324
1910,0.05044526979327202,2068
1910,0.04579190909862518,944
1910,0.04515895992517471,1048
1910,0.04420749843120575,423
1911,0.20817258954048157,56
1911,0.10863599181175232,901
1911,0.08197726309299469,107
1911,0.08161871135234833,762
1911,0.08125167340040207,834
1912,0.10982807725667953,1996
1912,0.09436796605587006,496
1912,0.08628307282924652,714
1912,0.08493003249168396,812
1912,0.07964961975812912,1134
1913,0.12389306724071503,1029
1913,0.06616857647895813,854
1913,0.06302177906036377,1141
1913,0.06272057443857193,420
1913,0.062385961413383484,547
1914,0.08684741705656052,402
1914,0.06796646118164062,821
1914,0.0641598030924797,1994
1914,0.06399264931678772,383
1914,0.06147488206624985,176
1915,0.14545805752277374,1121
1915,0.12325678765773773,1877
1915,0.0757458359003067,1578
1915,0.06910456717014313,1797
1915,0.06669629365205765,1913
1916,0.10337106138467789,533
1916,0.10199988633394241,2042
1916,0.07379980385303497,1966
1916,0.0666813999414444,2019
1916,0.06334419548511505,1678
1917,0.2516181468963623,167
1917,0.13990344107151031,497
1917,0.11983384937047958,33
1917,0.11674219369888306,448
1917,0.11388304084539413,272
1918,0.0964788943529129,1996
1918,0.08133929967880249,2013
1918,0.07741666585206985,1317
1918,0.07424052804708481,1657
1918,0.07418106496334076,1315
1919,0.2605893909931183,1942
1919,0.2473958283662796,953
1919,0.16466587781906128,897
1919,0.14363053441047668,1274
1919,0.13357052206993103,734
1920,0.0717676430940628,939
1920,0.055941637605428696,1000
1920,0.054981984198093414,2068
1920,0.043847039341926575,1608
1920,0.041392602026462555,1816
1921,0.1645524948835373,926
1921,0.1535951942205429,510
1921,0.14862817525863647,2064
1921,0.13805757462978363,238
1921,0.12793301045894623,586
1922,0.21529369056224823,909
1922,0.08539355546236038,186
1922,0.08426441252231598,1162
1922,0.08163699507713318,1770
1922,0.07731296867132187,837
1923,0.07100914418697357,371
1923,0.06772558391094208,387
1923,0.058328378945589066,1606
1923,0.058261532336473465,831
1923,0.05534519627690315,1781
1924,0.08675716817378998,861
1924,0.079315185546875,2018
